"","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","esgRank.env","esgRank.soc","esgRank.gov","conRating","conLevel","conAreas","asOf","mktCap"
"389","DGX","Quest Diagnostics","Health Care","Health Care Services","Negligible",19,0,10,9,0.17,NA,NA,NA,NA,NA,NA,2021-03-03,15822424064
"390","RL","Ralph Lauren Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Negligible",14,1,7,6,0.06,NA,NA,NA,NA,NA,NA,2021-03-03,8894121984
"391","RJF","Raymond James Financial","Financials","Investment Banking & Brokerage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16287080448
"392","RTX","Raytheon Technologies","Industrials","Aerospace & Defense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113459576832
"393","O","Realty Income Corporation","Real Estate","Retail REITs","Negligible",17,5,6,5,0.11,NA,NA,NA,NA,NA,NA,2021-03-03,22541615104
"394","REG","Regency Centers Corporation","Real Estate","Retail REITs","Negligible",12,4,4,5,0.03,NA,NA,NA,NA,NA,NA,2021-03-03,9197088768
"395","REGN","Regeneron Pharmaceuticals","Health Care","Biotechnology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48730058752
"396","RF","Regions Financial Corp.","Financials","Regional Banks","Negligible",19,2,10,8,0.18,NA,NA,NA,NA,NA,NA,2021-03-03,20279828480
"397","RSG","Republic Services Inc","Industrials","Environmental & Facilities Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29214244864
"398","RMD","ResMed","Health Care","Health Care Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28113793024
"399","RHI","Robert Half International","Industrials","Human Resource & Employment Services","Negligible",11,0,7,4,0.02,NA,NA,NA,NA,NA,NA,2021-03-03,8779631616
"400","ROK","Rockwell Automation Inc.","Industrials","Electrical Components & Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28888909824
"401","ROL","Rollins, Inc.","Industrials","Environmental & Facilities Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16486757376
"402","ROP","Roper Technologies","Industrials","Industrial Conglomerates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39991582720
"403","ROST","Ross Stores","Consumer Discretionary","Apparel Retail","Negligible",15,2,8,6,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,41934307328
"404","RCL","Royal Caribbean Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22246078464
"405","SPGI","S&P Global Inc.","Financials","Financial Exchanges & Data","Negligible",13,2,6,5,0.04,NA,NA,NA,NA,NA,NA,2021-03-03,80138657792
"406","CRM","Salesforce.com","Information Technology","Application Software","Negligible",11,0,6,4,0.02,NA,NA,NA,NA,NA,NA,2021-03-03,195908681728
"407","SBAC","SBA Communications","Real Estate","Specialized REITs","Negligible",17,2,8,7,0.13,NA,NA,NA,NA,NA,NA,2021-03-03,26928549888
"408","SLB","Schlumberger Ltd.","Energy","Oil & Gas Equipment & Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39347314688
"409","STX","Seagate Technology","Information Technology","Technology Hardware, Storage & Peripherals","Negligible",11,2,4,5,0.02,NA,NA,NA,NA,NA,NA,2021-03-03,17164177408
"410","SEE","Sealed Air","Materials","Paper Packaging","Negligible",20,14,3,3,0.2,NA,NA,NA,NA,NA,NA,2021-03-03,6757566976
"411","SRE","Sempra Energy","Utilities","Multi-Utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35442483200
"412","NOW","ServiceNow","Information Technology","Systems Software","Negligible",17,1,9,6,0.12,NA,NA,NA,NA,NA,NA,2021-03-03,107717730304
"413","SHW","Sherwin-Williams","Materials","Specialty Chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61796638720
"414","SPG","Simon Property Group Inc","Real Estate","Retail REITs","Negligible",15,6,5,5,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,36686991360
"415","SWKS","Skyworks Solutions","Information Technology","Semiconductors","Severe",33,15,10,8,0.69,NA,NA,NA,NA,NA,NA,2021-03-03,29663860736
"416","SLG","SL Green Realty","Real Estate","Office REITs","Negligible",13,3,4,6,0.05,NA,NA,NA,NA,NA,NA,2021-03-03,4830505984
"417","SNA","Snap-on","Industrials","Industrial Machinery","Severe",33,11,14,8,0.66,NA,NA,NA,NA,NA,NA,2021-03-03,11377772544
"418","SO","Southern Company","Utilities","Electric Utilities","Severe",32,13,12,7,0.64,NA,NA,NA,NA,NA,NA,2021-03-03,61103755264
"419","LUV","Southwest Airlines","Industrials","Airlines","Severe",31,10,15,6,0.62,NA,NA,NA,NA,NA,NA,2021-03-03,34147096576
"420","SWK","Stanley Black & Decker","Industrials","Industrial Machinery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29840824320
"421","SBUX","Starbucks Corp.","Consumer Discretionary","Restaurants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126206550016
"422","STT","State Street Corp.","Financials","Asset Management & Custody Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27098073088
"423","STE","Steris","Health Care","Health Care Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15173150720
"424","SYK","Stryker Corp.","Health Care","Health Care Equipment","Severe",34,5,18,12,0.72,NA,NA,NA,NA,NA,NA,2021-03-03,92315959296
"425","SIVB","SVB Financial","Financials","Regional Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27078885376
"426","SYF","Synchrony Financial","Financials","Consumer Finance","Negligible",19,0,12,7,0.19,NA,NA,NA,NA,NA,NA,2021-03-03,23098372096
"427","SNPS","Synopsys Inc.","Information Technology","Application Software","Negligible",15,1,9,4,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,37768691712
"428","SYY","Sysco Corp.","Consumer Staples","Food Distributors","Negligible",12,2,5,4,0.03,NA,NA,NA,NA,NA,NA,2021-03-03,40848273408
"429","TMUS","T-Mobile US","Communication Services","Wireless Telecommunication Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152180850688
"430","TROW","T. Rowe Price Group","Financials","Asset Management & Custody Banks","Negligible",20,2,12,6,0.19,NA,NA,NA,NA,NA,NA,2021-03-03,38671036416
"431","TTWO","Take-Two Interactive","Communication Services","Interactive Home Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21673043968
"432","TPR","Tapestry, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Negligible",14,1,7,5,0.05,NA,NA,NA,NA,NA,NA,2021-03-03,11758104576
"433","TGT","Target Corp.","Consumer Discretionary","General Merchandise Stores","Negligible",15,2,8,5,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,86879109120
"434","TEL","TE Connectivity Ltd.","Information Technology","Electronic Manufacturing Services","Negligible",16,7,5,5,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,44600524800
"435","TDY","Teledyne Technologies","Industrials","Aerospace & Defense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13875466240
"436","TFX","Teleflex","Health Care","Health Care Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18852407296
"437","TER","Teradyne","Information Technology","Semiconductor Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21136926720
"438","TSLA","Tesla, Inc.","Consumer Discretionary","Automobile Manufacturers","Severe",31,3,17,11,0.61,NA,NA,NA,NA,NA,NA,2021-03-03,658882166784
"439","TXN","Texas Instruments","Information Technology","Semiconductors","Negligible",18,6,5,6,0.13,NA,NA,NA,NA,NA,NA,2021-03-03,160940589056
"440","TXT","Textron Inc.","Industrials","Aerospace & Defense","Severe",35,10,18,7,0.74,NA,NA,NA,NA,NA,NA,2021-03-03,11637786624
"441","TMO","Thermo Fisher Scientific","Health Care","Life Sciences Tools & Services","Negligible",14,2,6,6,0.06,NA,NA,NA,NA,NA,NA,2021-03-03,181975678976
"442","TJX","TJX Companies Inc.","Consumer Discretionary","Apparel Retail","Negligible",15,2,7,5,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,79493709824
"443","TSCO","Tractor Supply Company","Consumer Discretionary","Specialty Stores","Negligible",16,3,8,4,0.09,NA,NA,NA,NA,NA,NA,2021-03-03,18481551360
"444","TT","Trane Technologies plc","Industrials","Building Products","Negligible",15,7,2,5,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,37709930496
"445","TDG","TransDigm Group","Industrials","Aerospace & Defense","Severe",40,11,20,8,0.84,NA,NA,NA,NA,NA,NA,2021-03-03,32635600896
"446","TRV","The Travelers Companies","Financials","Property & Casualty Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37610151936
"447","TRMB","Trimble Inc.","Information Technology","Electronic Equipment & Instruments","Negligible",13,4,4,5,0.04,NA,NA,NA,NA,NA,NA,2021-03-03,18966181888
"448","TFC","Truist Financial","Financials","Regional Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78487871488
"449","TWTR","Twitter, Inc.","Communication Services","Interactive Media & Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58799931392
"450","TYL","Tyler Technologies","Information Technology","Application Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18845849600
"451","TSN","Tyson Foods","Consumer Staples","Packaged Foods & Meats","Severe",36,13,13,10,0.77,NA,NA,NA,NA,NA,NA,2021-03-03,25049862144
"452","UDR","UDR, Inc.","Real Estate","Residential REITs","Negligible",13,4,4,5,0.04,NA,NA,NA,NA,NA,NA,2021-03-03,12499132416
"453","ULTA","Ulta Beauty","Consumer Discretionary","Specialty Stores","Negligible",17,4,7,6,0.12,NA,NA,NA,NA,NA,NA,2021-03-03,18975967232
"454","USB","U.S. Bancorp","Financials","Diversified Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76083396608
"455","UAA","Under Armour (Class A)","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Negligible",16,2,8,6,0.09,NA,NA,NA,NA,NA,NA,2021-03-03,9522817024
"456","UA","Under Armour (Class C)","Consumer Discretionary","Apparel, Accessories & Luxury Goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9503667200
"457","UNP","Union Pacific Corp","Industrials","Railroads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140195217408
"458","UAL","United Airlines Holdings","Industrials","Airlines","Severe",32,11,15,6,0.63,NA,NA,NA,NA,NA,NA,2021-03-03,16946107392
"459","UNH","UnitedHealth Group Inc.","Health Care","Managed Health Care",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316341551104
"460","UPS","United Parcel Service","Industrials","Air Freight & Logistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139914067968
"461","URI","United Rentals, Inc.","Industrials","Trading Companies & Distributors","Negligible",17,5,7,6,0.12,NA,NA,NA,NA,NA,NA,2021-03-03,21184718848
"462","UHS","Universal Health Services","Health Care","Health Care Facilities","Severe",35,3,22,10,0.75,NA,NA,NA,NA,NA,NA,2021-03-03,11006870528
"463","UNM","Unum Group","Financials","Life & Health Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5476289536
"464","VLO","Valero Energy","Energy","Oil & Gas Refining & Marketing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31308181504
"465","VAR","Varian Medical Systems","Health Care","Health Care Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16169139200
"466","VTR","Ventas Inc","Real Estate","Health Care REITs","Negligible",12,3,4,5,0.03,NA,NA,NA,NA,NA,NA,2021-03-03,19860672512
"467","VRSN","Verisign Inc.","Information Technology","Internet Services & Infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21939300352
"468","VRSK","Verisk Analytics","Industrials","Research & Consulting Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27085334528
"469","VZ","Verizon Communications","Communication Services","Integrated Telecommunication Services","Negligible",18,2,10,6,0.15,NA,NA,NA,NA,NA,NA,2021-03-03,227515482112
"470","VRTX","Vertex Pharmaceuticals Inc","Health Care","Biotechnology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55127117824
"471","VFC","VF Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Negligible",11,1,6,5,0.02,NA,NA,NA,NA,NA,NA,2021-03-03,32194973696
"472","VIAC","ViacomCBS","Communication Services","Movies & Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42577195008
"473","VTRS","Viatris","Health Care","Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17249171456
"474","V","Visa Inc.","Information Technology","Data Processing & Outsourced Services","Negligible",17,0,10,7,0.13,NA,NA,NA,NA,NA,NA,2021-03-03,475740471296
"475","VNT","Vontier","Information Technology","Electronic Equipment & Instruments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5326085632
"476","VNO","Vornado Realty Trust","Real Estate","Office REITs","Negligible",14,2,5,6,0.05,NA,NA,NA,NA,NA,NA,2021-03-03,8356472832
"477","VMC","Vulcan Materials","Materials","Construction Materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22392489984
"478","WRB","W. R. Berkley Corporation","Financials","Property & Casualty Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500473856
"479","WAB","Westinghouse Air Brake Technologies Corp","Industrials","Construction Machinery & Heavy Trucks","Severe",33,10,14,8,0.66,NA,NA,NA,NA,NA,NA,2021-03-03,14123753472
"480","WMT","Walmart","Consumer Staples","Hypermarkets & Super Centers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368118923264
"481","WBA","Walgreens Boots Alliance","Consumer Staples","Drug Retail","Negligible",17,2,11,5,0.13,NA,NA,NA,NA,NA,NA,2021-03-03,40990150656
"482","DIS","The Walt Disney Company","Communication Services","Movies & Entertainment","Negligible",16,0,8,8,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,352051527680
"483","WM","Waste Management Inc.","Industrials","Environmental & Facilities Services","Negligible",15,8,4,4,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,48379080704
"484","WAT","Waters Corporation","Health Care","Health Care Distributors","Negligible",18,1,11,6,0.15,NA,NA,NA,NA,NA,NA,2021-03-03,17074535424
"485","WEC","WEC Energy Group","Utilities","Electric Utilities","Severe",32,18,9,5,0.65,NA,NA,NA,NA,NA,NA,2021-03-03,26190567424
"486","WFC","Wells Fargo","Financials","Diversified Banks","Severe",31,1,15,15,0.62,NA,NA,NA,NA,NA,NA,2021-03-03,153540837376
"487","WELL","Welltower Inc.","Real Estate","Health Care REITs","Negligible",11,4,3,5,0.03,NA,NA,NA,NA,NA,NA,2021-03-03,28640823296
"488","WST","West Pharmaceutical Services","Health Care","Health Care Supplies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20608045056
"489","WDC","Western Digital","Information Technology","Technology Hardware, Storage & Peripherals","Negligible",13,3,5,6,0.05,NA,NA,NA,NA,NA,NA,2021-03-03,21285984256
"490","WU","Western Union Co","Information Technology","Data Processing & Outsourced Services","Negligible",16,0,10,7,0.11,NA,NA,NA,NA,NA,NA,2021-03-03,9730632704
"491","WRK","WestRock","Materials","Paper Packaging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12324689920
"492","WY","Weyerhaeuser","Real Estate","Specialized REITs","Negligible",19,11,4,4,0.17,NA,NA,NA,NA,NA,NA,2021-03-03,25267081216
"493","WHR","Whirlpool Corp.","Consumer Discretionary","Household Appliances","Negligible",18,7,7,5,0.15,NA,NA,NA,NA,NA,NA,2021-03-03,12219282432
"494","WMB","Williams Companies","Energy","Oil & Gas Storage & Transportation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28791097344
"495","WLTW","Willis Towers Watson","Financials","Insurance Brokers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29290604544
"496","WYNN","Wynn Resorts Ltd","Consumer Discretionary","Casinos & Gaming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15376794624
"497","XEL","Xcel Energy Inc","Utilities","Multi-Utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31710539776
"498","XRX","Xerox","Information Technology","Technology Hardware, Storage & Peripherals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5129220096
"499","XLNX","Xilinx","Information Technology","Semiconductors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31873744896
"500","XYL","Xylem Inc.","Industrials","Industrial Machinery","Negligible",16,4,8,5,0.11,NA,NA,NA,NA,NA,NA,2021-03-03,18389301248
"501","YUM","Yum! Brands Inc","Consumer Discretionary","Restaurants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31427760128
"502","ZBRA","Zebra Technologies","Information Technology","Electronic Equipment & Instruments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26820317184
"503","ZBH","Zimmer Biomet","Health Care","Health Care Equipment","Severe",34,5,19,10,0.71,NA,NA,NA,NA,NA,NA,2021-03-03,33504309248
"504","ZION","Zions Bancorp","Financials","Regional Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8906968064
"505","ZTS","Zoetis","Health Care","Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74648698880
